team,market_value_cr_inr
France,12184
England,10866
Spain,9782
Portugal,8044
Germany,7576
Brazil,7426
Argentina,6460
Netherlands,6034
Norway,4719
Belgium,4380
Ivory Coast,4177
Senegal,3825
Turkiye,3790
Morocco,3582
Sweden,3249
Croatia,3098
United States,3085
Ecuador,2950
Denmark,2920
Uruguay,2874
Switzerland,2660
Italy,2526
Colombia,2419
Greece,2205
Japan,2167
Georgia,2085
Algeria,2055
Ukraine,1976
Austria,1962
Russia,1942
Ghana,1875
Poland,1853
Serbia,1676
Hungary,1674
Cameroon,1590
Canada,1589
Mexico,1535
Czech Republic,1505
Wales,1445
Nigeria,1376
Scotland,1362
Paraguay,1229
Kosovo,1180
Republic of Ireland,1175
Bosnia and Herzegovina,1171
Democratic Republic of the Congo,1151
South Korea,1112
Mali,932
Egypt,932
Burkina Faso,884
Slovenia,804
Iceland,713
Albania,710
Uzbekistan,683
Northern Ireland,639
Venezuela,632
The Gambia,630
Australia,620
Guinea,592
Tunisia,560
Montenegro,555
Israel,545
Chile,534
Slovakia,479
Romania,456
Haiti,447
Cape Verde,436
South Africa,394
Angola,372
Armenia,338
Finland,335
Saudi Arabia,325
Guinea-Bissau,316
Suriname,287
Gabon,282
Panama,276
North Macedonia,276
New Zealand,274
Iran,256
Peru,245
Bulgaria,240
United Arab Emirates,232
Costa Rica,226
Togo,222
Curaçao,206
Mauritania,203
Zimbabwe,203
Honduras,171
Iraq,170
Jordan,162
Comoros,160
Qatar,159
Cyprus,159
Indonesia,156
Azerbaijan,153
Benin,145
Bolivia,144
Kazakhstan,130
Lithuania,129
Belarus,123
Malta,120
Luxembourg,117
China,115
Liberia,115
Zambia,113
Estonia,111
Guadeloupe,110
Sierra Leone,107
Dominican Republic,103
Burundi,87.4
Niger,85.6
Palestine,82.6
Libya,81
Moldova,77.6
Jamaica,72.4
Tanzania,72.2
Uganda,69
Chad,68.4
Central African Republic,67.2
Oman,66.6
Latvia,65.8
Syria,63.4
Guatemala,62.2
Tajikistan,62.2
Malaysia,60.8
