team,elo,matches_played,wins,draws,losses,points_per_match_all,goals_scored_all,goals_conceded_all,goal_diff_all,abs_goal_diff_all,total_goals_all,clean_sheet_rate_all,failed_to_score_rate_all,both_teams_scored_rate_all,low_scoring_rate_all,tight_match_rate_all,scoreless_draw_rate_all,win_rate_all,draw_rate_all,loss_rate_all,weighted_points_per_match_all,weighted_goal_diff_all,elo_delta_avg_all,win_streak,unbeaten_streak,recent_matches,recent_form_10,recent_goal_diff_10,recent_abs_goal_diff_10,recent_goals_scored_10,recent_goals_conceded_10,recent_total_goals_10,recent_win_rate_10,recent_draw_rate_10,recent_loss_rate_10,recent_clean_sheet_rate_10,recent_failed_to_score_rate_10,recent_both_teams_scored_rate_10,recent_low_scoring_rate_10,recent_tight_match_rate_10,recent_scoreless_draw_rate_10,recent_weighted_form_10,recent_weighted_goal_diff_10,recent_opponent_elo_avg_10,recent_elo_delta_avg_10,last_match_date
Spain,2084.801774607639,342,235,69,38,2.263157894736842,2.2046783625730995,0.716374269005848,1.4883040935672514,1.8333333333333333,2.9210526315789473,0.5058479532163743,0.12280701754385964,0.4298245614035088,0.45614035087719296,0.5555555555555556,0.05847953216374269,0.6871345029239766,0.20175438596491227,0.1111111111111111,2.243334033172374,1.4486668066344746,1.7099467093790635,1.0,30.0,10.0,2.4,2.4,2.4,2.8,0.4,3.2,0.7,0.3,0.0,0.7,0.1,0.3,0.3,0.3,0.1,2.504347826086957,2.7000000000000006,1670.8361014421382,-0.4783720128612958,2026-06-08
Argentina,2058.375940670248,342,215,75,52,2.1052631578947367,1.9269005847953216,0.827485380116959,1.0994152046783625,1.631578947368421,2.754385964912281,0.4824561403508772,0.1608187134502924,0.4327485380116959,0.48830409356725146,0.5584795321637427,0.07602339181286549,0.6286549707602339,0.21929824561403508,0.15204678362573099,2.07095622966308,1.0116510968825485,1.6326781890942932,7.0,7.0,10.0,2.5,2.2,2.4,2.5,0.3,2.8,0.8,0.1,0.1,0.7,0.1,0.2,0.5,0.4,0.0,2.2162162162162162,1.8270270270270268,1642.3059052598778,-2.1777645863525192,2026-06-09
France,1996.1130433223382,350,217,77,56,2.08,1.8857142857142857,0.7657142857142857,1.12,1.5771428571428572,2.6514285714285712,0.47714285714285715,0.2,0.42,0.5228571428571429,0.5857142857142857,0.09714285714285714,0.62,0.22,0.16,2.066239764854089,1.060151165231998,1.4174658380638214,1.0,1.0,10.0,2.5,1.6,1.8,2.5,0.9,3.4,0.8,0.1,0.1,0.3,0.0,0.7,0.1,0.4,0.0,2.5652173913043486,1.7565217391304349,1647.5416774395394,0.6698631213178318,2026-06-08
England,1966.804639683656,318,191,73,54,2.0314465408805034,1.9874213836477987,0.7735849056603774,1.2138364779874213,1.6666666666666667,2.761006289308176,0.4811320754716981,0.16352201257861634,0.4371069182389937,0.46226415094339623,0.5911949685534591,0.08176100628930817,0.60062893081761,0.22955974842767296,0.16981132075471697,2.0123613678373435,1.2205406654343822,1.4679391185020596,2.0,2.0,10.0,2.5,2.2,2.4,2.4,0.2,2.6,0.8,0.1,0.1,0.8,0.1,0.1,0.6,0.3,0.0,2.674418604651163,2.548837209302326,1643.943001225145,2.685948481402766,2026-06-10
Brazil,1945.3011704527755,371,237,79,55,2.129380053908356,2.0862533692722374,0.7196765498652291,1.366576819407008,1.7816711590296497,2.8059299191374665,0.5040431266846361,0.1752021563342318,0.40431266846361186,0.49056603773584906,0.5256064690026954,0.08355795148247978,0.6388140161725068,0.21293800539083557,0.14824797843665768,2.0774249256452193,1.2284371102369789,1.200272696638214,3.0,3.0,10.0,1.9,1.4,2.0,2.5,1.1,3.6,0.6,0.1,0.3,0.3,0.1,0.6,0.3,0.5,0.0,1.8081395348837206,1.3023255813953487,1801.6820760992082,-0.8339585755048065,2026-06-06
Portugal,1941.607151507555,333,199,77,57,2.024024024024024,2.09009009009009,0.8378378378378378,1.2522522522522523,1.7627627627627627,2.9279279279279278,0.4744744744744745,0.18018018018018017,0.43243243243243246,0.4624624624624625,0.5555555555555556,0.08708708708708708,0.5975975975975976,0.23123123123123124,0.17117117117117117,1.991422366992403,1.1707926167209568,1.3261476021247953,3.0,5.0,10.0,2.3,1.7,2.1,2.6,0.9,3.5,0.7,0.2,0.1,0.4,0.2,0.5,0.4,0.6,0.1,2.2478260869565228,1.8826086956521741,1663.4523266684948,-1.0545784788793984,2026-06-10
Morocco,1939.9801189947239,307,170,78,59,1.9153094462540716,1.5798045602605864,0.6644951140065146,0.9153094462540716,1.4625407166123778,2.244299674267101,0.5342019543973942,0.247557003257329,0.34201954397394135,0.6188925081433225,0.6123778501628665,0.1237785016286645,0.5537459283387622,0.254071661237785,0.19218241042345277,1.8905747717628982,0.8867172431528881,1.4331599967254807,0.0,38.0,10.0,2.4,1.9,1.9,2.2,0.3,2.5,0.7,0.3,0.0,0.7,0.1,0.3,0.5,0.5,0.1,2.5034482758620697,1.848275862068966,1678.885999796378,5.568639973034541,2026-06-07
Colombia,1937.5656389413111,323,154,88,81,1.7027863777089782,1.3746130030959753,0.8792569659442725,0.4953560371517028,1.2755417956656347,2.2538699690402475,0.47058823529411764,0.2848297213622291,0.38080495356037153,0.5851393188854489,0.6718266253869969,0.13622291021671826,0.47678018575851394,0.2724458204334365,0.25077399380804954,1.6689032855159796,0.4359093012494237,1.354692380623256,2.0,2.0,10.0,2.2,1.5,2.1,2.5,1.0,3.5,0.7,0.1,0.2,0.5,0.1,0.5,0.2,0.3,0.1,2.341176470588235,1.7647058823529411,1794.7783111619603,3.018163879114929,2026-06-07
Germany,1931.607223416698,352,209,75,68,1.9943181818181819,2.3011363636363638,1.0738636363636365,1.2272727272727273,1.8636363636363635,3.375,0.3693181818181818,0.13920454545454544,0.53125,0.38636363636363635,0.5227272727272727,0.03977272727272727,0.59375,0.21306818181818182,0.19318181818181818,2.054345549738226,1.275287958115186,1.2261568847065236,9.0,9.0,10.0,2.7,2.0,2.4,2.8,0.8,3.6,0.9,0.0,0.1,0.5,0.1,0.4,0.3,0.4,0.0,2.621739130434784,2.0652173913043486,1602.9652737963766,1.40905010121083,2026-06-06
Japan,1917.4445750828775,396,226,84,86,1.9242424242424243,1.9494949494949494,0.8888888888888888,1.0606060606060606,1.7575757575757576,2.8383838383838382,0.4671717171717172,0.20454545454545456,0.4015151515151515,0.49747474747474746,0.5757575757575758,0.07323232323232323,0.5707070707070707,0.21212121212121213,0.21717171717171718,1.9233097880928443,1.072048435923312,1.054152967381008,6.0,7.0,10.0,2.3,1.3,1.7,1.9,0.6,2.5,0.7,0.2,0.1,0.7,0.2,0.2,0.6,0.6,0.1,2.3742331288343563,1.7423312883435582,1747.460138361442,2.827052527191896,2026-05-31
Netherlands,1912.9142820308764,320,193,72,55,2.034375,2.096875,0.859375,1.2375,1.71875,2.95625,0.446875,0.146875,0.471875,0.434375,0.546875,0.065625,0.603125,0.225,0.171875,2.078442902505004,1.2810772668469967,1.2903571313464886,1.0,1.0,10.0,2.1,1.4,1.6,2.2,0.8,3.0,0.6,0.3,0.1,0.3,0.1,0.6,0.4,0.7,0.0,2.191304347826087,1.7000000000000006,1610.2715116862216,-1.2051601528871605,2026-06-08
Mexico,1899.8614756357313,473,257,97,119,1.8350951374207187,1.6744186046511629,0.9534883720930233,0.7209302325581395,1.5412262156448202,2.627906976744186,0.4376321353065539,0.2346723044397463,0.42071881606765327,0.4989429175475687,0.6088794926004228,0.09302325581395349,0.5433403805496829,0.20507399577167018,0.25158562367864695,1.8516282764098546,0.7520254169976166,0.8453730985956251,3.0,8.0,10.0,2.1,1.2,1.4,1.6,0.4,2.0,0.6,0.3,0.1,0.7,0.2,0.3,0.7,0.7,0.2,2.099999999999999,1.2,1752.9266881205488,1.78746158757794,2026-06-04
Ecuador,1898.7807140699929,315,119,87,109,1.4095238095238096,1.2920634920634921,1.1746031746031746,0.11746031746031746,1.2920634920634921,2.466666666666667,0.346031746031746,0.28888888888888886,0.48253968253968255,0.5396825396825397,0.6412698412698413,0.11746031746031746,0.37777777777777777,0.2761904761904762,0.346031746031746,1.3352564102564184,0.02987179487179501,1.265970520857124,2.0,19.0,10.0,1.8,0.7,0.7,1.2,0.5,1.7,0.4,0.6,0.0,0.5,0.2,0.5,0.8,0.8,0.2,1.8352941176470585,0.6647058823529411,1822.4604619727118,3.244380666071463,2026-06-07
Croatia,1860.9036433620197,305,162,81,62,1.859016393442623,1.6852459016393442,0.9573770491803278,0.7278688524590164,1.4295081967213115,2.642622950819672,0.4098360655737705,0.2098360655737705,0.4721311475409836,0.5081967213114754,0.6327868852459017,0.09180327868852459,0.5311475409836065,0.26557377049180325,0.20327868852459016,1.8132841328413316,0.6880688806888073,1.183290633973839,1.0,1.0,10.0,2.2,0.9,1.7,1.9,1.0,2.9,0.7,0.1,0.2,0.4,0.2,0.5,0.3,0.5,0.1,2.3826086956521744,1.265217391304348,1581.8460532355907,0.11889012178080316,2026-06-07
