group,team,expected_rank,expected_points,expected_goal_difference,expected_goals_for,expected_goals_against,group_win_probability,runner_up_probability,top2_probability
A,Mexico,2.1078,4.926,1.1552,4.1056,2.9504,0.3687,0.2847,0.6534
A,South Korea,2.3878,4.3325,0.3086,3.8772,3.5686,0.2671,0.2743,0.5414
A,Czechia,2.4014,4.3071,0.3111,4.1065,3.7954,0.2682,0.2749,0.5430999999999999
A,South Africa,3.103,2.8549,-1.7749,2.7978,4.5727,0.096,0.1661,0.2621
B,Switzerland,1.6122,6.1225,2.9022,5.2102,2.308,0.5955,0.2452,0.8407
B,Canada,2.364,4.3856,0.3996,3.3999,3.0003,0.2188,0.3551,0.5739000000000001
B,Bosnia and Herzegovina,2.8181,3.4012,-1.0874,3.2903,4.3777,0.1265,0.2381,0.36460000000000004
B,Qatar,3.2057,2.5621,-2.2144,2.4217,4.6361,0.0592,0.1616,0.2208
C,Brazil,1.8959,5.4882,2.0722,5.4311,3.3589,0.4388,0.3083,0.7471000000000001
C,Morocco,1.9839,5.3307,1.7377,4.7813,3.0436,0.3795,0.3382,0.7177
C,Scotland,2.7745,3.5447,-0.9343,3.7317,4.666,0.133,0.2316,0.36460000000000004
C,Haiti,3.3457,2.262,-2.8756,2.6091,5.4847,0.0487,0.1219,0.1706
D,Turkey,1.8978,5.4419,1.9498,5.4707,3.5209,0.4683,0.266,0.7343
D,United States,2.4478,4.2079,0.0549,4.43,4.3751,0.241,0.2857,0.5267
D,Australia,2.6493,3.8012,-0.4895,3.7567,4.2462,0.1847,0.2536,0.4383
D,Paraguay,3.0051,3.0789,-1.5152,3.1521,4.6673,0.106,0.1947,0.3007
E,Germany,1.8721,5.5244,2.1138,5.4729,3.3591,0.4699,0.2725,0.7424
E,Ecuador,2.3731,4.4301,0.4275,3.8615,3.434,0.2369,0.3138,0.5507
E,Côte d'Ivoire,2.38,4.4121,0.4667,4.2754,3.8087,0.2446,0.2958,0.5404
E,Curaçao,3.3748,2.2102,-3.008,2.7409,5.7489,0.0486,0.1179,0.1665
F,Japan,2.0001,5.2192,1.6196,4.8038,3.1842,0.405,0.3003,0.7053
F,Netherlands,2.0841,5.0393,1.3476,4.905,3.5574,0.3655,0.308,0.6735
F,Sweden,2.8794,3.285,-1.289,3.6216,4.9106,0.1323,0.208,0.3403
F,Tunisia,3.0364,2.9774,-1.6782,3.1825,4.8607,0.0972,0.1837,0.2809
G,Belgium,2.0442,5.1293,1.5409,5.2072,3.6663,0.398,0.2777,0.6757
G,Iran,2.2574,4.6106,0.7013,4.1021,3.4008,0.2942,0.297,0.5912
G,Egypt,2.3934,4.3796,0.355,3.7791,3.4241,0.2437,0.2962,0.5399
G,New Zealand,3.305,2.3782,-2.5972,2.5863,5.1835,0.0641,0.1291,0.19319999999999998
H,Spain,1.5687,6.2662,3.1529,5.5852,2.4323,0.6186,0.2349,0.8535
H,Uruguay,2.3799,4.3624,0.3307,3.6486,3.3179,0.2096,0.3667,0.5763
H,Cape Verde,2.9823,3.0611,-1.5907,2.9872,4.5779,0.0903,0.2137,0.304
H,Saudi Arabia,3.0691,2.8418,-1.8929,2.8048,4.6977,0.0815,0.1847,0.2662
I,France,1.9498,5.3358,1.7852,5.2821,3.4969,0.422,0.2957,0.7177
I,Norway,2.1017,5.0187,1.3104,5.1386,3.8282,0.3494,0.3158,0.6652
I,Senegal,2.6484,3.8096,-0.5028,3.7305,4.2333,0.1715,0.2571,0.4286
I,Iraq,3.3001,2.4071,-2.5928,2.5722,5.165,0.0571,0.1314,0.1885
J,Argentina,1.8916,5.4577,1.9578,5.0276,3.0698,0.4619,0.2794,0.7413
J,Algeria,2.4488,4.2423,0.1828,4.0015,3.8187,0.2419,0.277,0.5189
J,Austria,2.5574,3.9993,-0.1864,4.0427,4.2291,0.2026,0.2726,0.4752
J,Jordan,3.1022,2.8196,-1.9542,3.1982,5.1524,0.0936,0.171,0.2646
K,Colombia,1.9087,5.4346,1.9045,5.0678,3.1633,0.417,0.334,0.751
K,Portugal,1.9206,5.3971,1.8392,5.072,3.2328,0.4281,0.3143,0.7424
K,Uzbekistan,3.0585,2.9003,-1.8432,2.8345,4.6777,0.0829,0.182,0.2649
K,Democratic Republic of the Congo,3.1122,2.7958,-1.9005,2.54,4.4405,0.072,0.1697,0.24169999999999997
L,England,1.7586,5.7777,2.4281,5.1584,2.7303,0.5196,0.2703,0.7898999999999999
L,Croatia,2.2988,4.5418,0.6119,4.3878,3.7759,0.2679,0.3269,0.5948
L,Panama,2.8514,3.363,-1.1943,3.6326,4.8269,0.1252,0.2283,0.35350000000000004
L,Ghana,3.0912,2.8586,-1.8457,2.9708,4.8165,0.0873,0.1745,0.2618
