group,round_number,match_date,team_a,team_b,team_a_win_prob,draw_prob,team_b_win_prob,expected_goals_a,expected_goals_b,expected_goal_diff,most_likely_score_a,most_likely_score_b,most_likely_winner,sample_score_a,sample_score_b,sample_winner,sample_goal_diff,sample_team_a_points,sample_team_b_points
A,1,2026-06-11,Mexico,South Africa,0.5560846183097617,0.2361061681934898,0.20780921349674833,1.500349227672246,0.7403662005631533,0.7599830271090928,1,0,Mexico,3,0,Mexico,3,3,0
A,1,2026-06-11,South Korea,Czechia,0.30721216815258656,0.15697017540564517,0.5358176564417683,1.3143849525697213,1.4022429880378522,-0.08785803546813087,1,1,draw,2,0,South Korea,2,3,0
A,2,2026-06-16,Mexico,South Korea,0.4454407594927268,0.18648582906981015,0.3680734114374631,1.2917807902730953,0.9925187906823126,0.2992619995907827,1,0,Mexico,1,2,South Korea,-1,0,3
A,2,2026-06-16,South Africa,Czechia,0.2707704512956337,0.24152558652747846,0.48770396217688783,1.1547185641851072,1.5155304179426043,-0.36081185375749714,1,1,draw,0,0,draw,0,1,1
A,3,2026-06-21,Mexico,Czechia,0.3106232925297689,0.20923319963368617,0.4801435078365451,1.3423101109717155,1.169595084602668,0.17271502636904756,1,1,draw,2,0,Mexico,2,3,0
A,3,2026-06-21,South Africa,South Korea,0.1261841400900761,0.24500908302008145,0.6288067768898424,0.8758314498481696,1.564713448296049,-0.6888819984478793,0,1,South Korea,1,3,South Korea,-2,0,3
B,1,2026-06-11,Canada,Bosnia and Herzegovina,0.34567158665003694,0.3334353192679867,0.3208930940819764,1.3051135517345551,0.9726444916999093,0.3324690600346458,1,0,Canada,0,1,Bosnia and Herzegovina,-1,0,3
B,1,2026-06-11,Qatar,Switzerland,0.028611837159922156,0.16344389407263418,0.8079442687674437,0.6103345627728864,1.9210497737669057,-1.3107152109940192,0,1,Switzerland,1,1,draw,0,1,1
B,2,2026-06-16,Bosnia and Herzegovina,Switzerland,0.1417502938488691,0.18671845475654375,0.6715312513945871,0.9483183700384705,1.8950379272771896,-0.946719557238719,0,1,Switzerland,1,4,Switzerland,-3,0,3
B,2,2026-06-16,Canada,Qatar,0.4359249047735959,0.37815630002020434,0.1859187952061998,1.3314676289298037,0.6288788104139037,0.7025888185159,1,0,Canada,0,0,draw,0,1,1
B,3,2026-06-21,Bosnia and Herzegovina,Qatar,0.4015623851302639,0.20648095813297596,0.39195665673676017,1.394541377529704,1.1815532081408853,0.2129881693888187,1,1,draw,0,0,draw,0,1,1
B,3,2026-06-21,Canada,Switzerland,0.09678162728376874,0.2454340996103776,0.6577842731058536,0.7894902545975364,1.4471546721539135,-0.6576644175563771,0,1,Switzerland,2,0,Canada,2,3,0
C,1,2026-06-11,Brazil,Morocco,0.5078550426801639,0.23568708713745384,0.25645787018238225,1.4442422914069633,1.3718814407976112,0.07236085060935205,1,1,draw,2,1,Brazil,1,3,0
C,1,2026-06-11,Haiti,Scotland,0.22380288090827802,0.1443095087908147,0.6318876103009073,1.0301371552685872,1.6699300521348923,-0.6397928968663051,1,1,draw,1,1,draw,0,1,1
C,2,2026-06-16,Brazil,Haiti,0.765514082438023,0.1511969127052769,0.08328900485670004,2.0360825834780623,0.8816354524173065,1.1544471310607558,2,0,Brazil,2,0,Brazil,2,3,0
C,2,2026-06-16,Morocco,Scotland,0.5436593327922726,0.153183613242014,0.30315705396571335,1.6635725915261204,0.9409495977850432,0.7226229937410772,1,0,Morocco,6,2,Morocco,4,3,0
C,3,2026-06-21,Brazil,Scotland,0.6979231117713218,0.15235243214534597,0.14972445608333226,1.9393792977811446,1.1294131666265483,0.8099661311545963,1,1,draw,0,1,Scotland,-1,0,3
C,3,2026-06-21,Morocco,Haiti,0.632547986418952,0.17726965892420765,0.19018235465684033,1.759977656072969,0.6914507795160901,1.068526876556879,1,0,Morocco,0,0,draw,0,1,1
D,1,2026-06-11,Australia,Turkey,0.25157833149006026,0.16217673040071162,0.5862449381092281,1.1673454484613492,1.73341256744743,-0.5660671189860809,1,1,draw,0,0,draw,0,1,1
D,1,2026-06-11,United States,Paraguay,0.6019035682925196,0.15334566378646802,0.24475076792101239,1.5995346473001573,1.1090807403286234,0.4904539069715339,1,1,draw,2,0,United States,2,3,0
D,2,2026-06-16,Paraguay,Turkey,0.1762672458050847,0.14306253553003345,0.6806702186648818,0.9483537625857054,1.8393268315356788,-0.8909730689499734,0,1,Turkey,2,1,Paraguay,1,3,0
D,2,2026-06-16,United States,Australia,0.44546956812408484,0.1941693636093226,0.3603610682665925,1.440338667380399,1.3796173816396018,0.06072128574079727,1,1,draw,1,2,Australia,-1,0,3
D,3,2026-06-21,Paraguay,Australia,0.40421243111528526,0.3073854907661063,0.28840207811860846,1.1102857644815562,1.2022168388801064,-0.0919310743985502,1,1,draw,0,1,Australia,-1,0,3
D,3,2026-06-21,United States,Turkey,0.32512286901297954,0.10330404236290563,0.5715730886241147,1.3900430226614533,1.8992144063990961,-0.5091713837376428,1,1,draw,0,2,Turkey,-2,0,3
E,1,2026-06-11,Côte d'Ivoire,Ecuador,0.3111718902897099,0.18370316844210816,0.505124941268182,1.0684748276356213,1.18418118909942,-0.11570636146379876,1,1,draw,1,2,Ecuador,-1,0,3
E,1,2026-06-11,Germany,Curaçao,0.6013257456969154,0.11037571206671172,0.28829854223637297,2.1271145754714986,1.0799637008964977,1.047150874575001,2,1,Germany,4,1,Germany,3,3,0
E,2,2026-06-16,Curaçao,Ecuador,0.1330818533490069,0.111818109660598,0.7551000369903952,0.733705784846947,1.7257154330468718,-0.9920096481999248,0,1,Ecuador,0,0,draw,0,1,1
E,2,2026-06-16,Germany,Côte d'Ivoire,0.38819504037690367,0.2355303014013412,0.37627465822175515,1.709084982336328,1.2869665304286415,0.4221184519076866,1,1,draw,3,3,draw,0,1,1
E,3,2026-06-21,Curaçao,Côte d'Ivoire,0.11860041282403022,0.19420578943055375,0.6871937977454161,0.912084102967005,1.9057317040889605,-0.9936476011219555,0,1,Côte d'Ivoire,0,3,Côte d'Ivoire,-3,0,3
E,3,2026-06-21,Germany,Ecuador,0.5200044931888804,0.22860826140060164,0.25138724541051793,1.6343938031478875,0.997225869273398,0.6371679338744896,1,0,Germany,0,1,Ecuador,-1,0,3
F,1,2026-06-11,Netherlands,Japan,0.35085635847566304,0.21917446045903857,0.4299691810652984,1.2995327339120761,1.3969625390491807,-0.09742980513710453,1,1,draw,2,2,draw,0,1,1
F,1,2026-06-11,Sweden,Tunisia,0.49365695956892397,0.18934160473153253,0.31700143569954353,1.4053830432296652,1.3951824367409582,0.01020060648870702,1,1,draw,0,3,Tunisia,-3,0,3
F,2,2026-06-16,Japan,Tunisia,0.6050509992323846,0.1345947185329415,0.26035428223467394,1.7224516121879931,0.7836464371861754,0.9388051750018177,1,0,Japan,3,0,Japan,3,3,0
